CaseID,ActivityID,CompleteTimestamp,Resource,ElapsedTime
Case No. 1,0,2018-05-17 04:25:13,0,0
Case No. 1,0,2018-05-17 04:25:13,0,0
Case No. 1,1,2018-05-17 04:25:28,1,15
Case No. 1,2,2018-05-17 04:25:48,2,20
Case No. 1,3,2018-05-17 04:26:38,3,50
Case No. 1,4,2018-05-17 04:26:50,4,12
Case No. 1,5,2018-05-17 04:27:06,5,16
Case No. 1,6,2018-05-17 04:28:06,6,60
Case No. 1,7,2018-05-17 04:30:06,7,120
Case No. 1,5,2018-05-17 04:30:22,3,16
Case No. 1,8,2018-05-17 04:30:42,6,20
Case No. 1,7,2018-05-17 04:32:02,3,80
Case No. 1,5,2018-05-17 04:32:18,8,16
Case No. 2,0,2018-05-17 04:07:57,9,-1461
Case No. 2,1,2018-05-17 04:08:07,1,10
Case No. 2,2,2018-05-17 04:08:37,2,30
Case No. 2,3,2018-05-17 04:09:02,10,25
Case No. 2,4,2018-05-17 04:09:14,8,12
Case No. 2,5,2018-05-17 04:09:30,9,16
Case No. 2,7,2018-05-17 04:10:10,7,40
Case No. 2,7,2018-05-17 04:12:10,3,120
Case No. 2,9,2018-05-17 04:12:16,3,6
Case No. 2,8,2018-05-17 04:12:56,10,40
Case No. 2,6,2018-05-17 04:13:56,6,60
Case No. 2,9,2018-05-17 04:13:59,6,3
Case No. 2,8,2018-05-17 04:14:39,3,40
Case No. 3,0,2018-05-17 08:13:10,0,14311
Case No. 3,1,2018-05-17 08:13:25,1,15
Case No. 3,2,2018-05-17 08:13:45,2,20
Case No. 3,3,2018-05-17 08:15:00,3,75
Case No. 3,4,2018-05-17 08:15:36,4,36
Case No. 3,5,2018-05-17 08:15:44,3,8
Case No. 3,6,2018-05-17 08:16:14,6,30
Case No. 3,7,2018-05-17 08:17:34,7,80
Case No. 3,8,2018-05-17 08:18:34,8,60
Case No. 3,9,2018-05-17 08:18:40,3,6
Case No. 3,5,2018-05-17 08:18:56,8,16
