CaseID,Activity,CompleteTimestamp,Resource,ElapsedTime
Case No. 1,0,2019-02-19 16:57:16,1,67
Case No. 1,4,2019-02-19 17:24:46,1,85
Case No. 1,6,2019-02-19 17:45:05,2,75
Case No. 1,1,2019-02-19 18:00:15,2,131
Case No. 1,5,2019-02-19 18:04:23,1,91
Case No. 1,9,2019-02-19 18:28:14,2,109
Case No. 1,6,2019-02-19 18:30:59,2,100
Case No. 1,9,2019-02-19 19:22:01,1,23
Case No. 1,7,2019-02-19 19:42:29,3,150
Case No. 1,1,2019-02-19 19:44:27,3,70
Case No. 1,8,2019-02-19 19:50:58,4,108
Case No. 1,3,2019-02-19 20:09:09,4,25
Case No. 1,5,2019-02-19 20:54:17,4,86
Case No. 2,0,2019-02-19 21:16:08,3,123
Case No. 2,3,2019-02-19 21:21:58,4,2
Case No. 2,8,2019-02-19 21:39:37,0,146
Case No. 2,9,2019-02-19 21:53:53,0,62
Case No. 2,4,2019-02-19 22:38:45,3,134
Case No. 2,2,2019-02-19 22:59:45,3,130
Case No. 2,9,2019-02-19 23:27:56,0,145
Case No. 2,1,2019-02-19 23:32:48,4,67
Case No. 2,2,2019-02-19 23:40:00,4,31
Case No. 2,5,2019-02-19 23:44:35,2,22
Case No. 2,6,2019-02-19 23:56:01,2,6
Case No. 2,7,2019-02-19 23:56:14,2,115
Case No. 2,1,2019-02-20 00:09:18,1,86
Case No. 2,6,2019-02-20 00:33:31,3,15
Case No. 2,4,2019-02-20 00:53:09,2,97
Case No. 3,0,2019-02-20 00:57:02,4,112
Case No. 3,9,2019-02-20 00:58:02,0,95
Case No. 3,8,2019-02-20 02:04:04,1,77
Case No. 3,1,2019-02-20 02:16:01,3,61
Case No. 3,4,2019-02-20 02:17:40,0,115
Case No. 3,1,2019-02-20 02:47:22,1,107
Case No. 3,6,2019-02-20 02:52:48,1,90
Case No. 3,4,2019-02-20 03:04:36,0,70
Case No. 3,6,2019-02-20 03:04:43,0,53
Case No. 3,9,2019-02-20 03:15:59,1,110
Case No. 3,5,2019-02-20 03:18:06,0,93
Case No. 3,7,2019-02-20 03:54:19,1,107
Case No. 3,3,2019-02-20 03:59:39,2,95
Case No. 3,5,2019-02-20 04:46:36,0,76
Case No. 3,8,2019-02-20 04:52:09,4,62
Case No. 4,0,2019-02-20 05:11:10,3,34
Case No. 4,5,2019-02-20 05:18:32,3,95
Case No. 4,1,2019-02-20 05:28:39,1,131
Case No. 4,5,2019-02-20 05:33:49,4,15
Case No. 4,9,2019-02-20 05:41:00,3,7
Case No. 4,6,2019-02-20 06:31:36,0,53
Case No. 4,9,2019-02-20 06:38:03,4,115
Case No. 4,2,2019-02-20 07:41:25,0,94
Case No. 4,7,2019-02-20 08:01:58,3,115
Case No. 4,6,2019-02-20 08:10:17,4,11
Case No. 4,3,2019-02-20 08:12:17,0,111
Case No. 4,8,2019-02-20 08:13:44,4,43
Case No. 4,4,2019-02-20 08:16:25,3,149
Case No. 4,8,2019-02-20 08:43:06,2,26
Case No. 5,0,2019-02-20 09:05:01,1,28
Case No. 5,9,2019-02-20 09:24:18,3,103
Case No. 5,8,2019-02-20 10:28:28,4,23
Case No. 5,8,2019-02-20 10:30:13,1,4
Case No. 5,3,2019-02-20 10:39:12,3,20
Case No. 5,7,2019-02-20 10:44:24,1,26
Case No. 5,6,2019-02-20 11:15:18,2,137
Case No. 5,2,2019-02-20 11:19:18,4,10
Case No. 5,2,2019-02-20 11:23:21,0,60
Case No. 5,5,2019-02-20 11:25:17,2,97
Case No. 5,9,2019-02-20 12:26:30,0,31
Case No. 5,1,2019-02-20 12:33:10,2,141
Case No. 5,4,2019-02-20 12:48:10,1,142
Case No. 5,4,2019-02-20 12:53:41,3,99
Case No. 6,0,2019-02-20 13:01:10,3,55
Case No. 6,3,2019-02-20 13:36:04,3,47
Case No. 6,8,2019-02-20 13:37:21,4,123
Case No. 6,7,2019-02-20 14:07:15,0,26
Case No. 6,1,2019-02-20 14:49:58,4,20
Case No. 6,5,2019-02-20 14:52:07,3,60
Case No. 6,9,2019-02-20 14:57:01,1,97
Case No. 6,6,2019-02-20 15:09:30,4,7
Case No. 6,1,2019-02-20 15:13:39,0,102
Case No. 6,6,2019-02-20 15:15:29,4,68
Case No. 6,5,2019-02-20 16:40:48,0,97
Case No. 6,9,2019-02-20 16:54:51,2,63
Case No. 7,0,2019-02-20 17:04:27,2,138
Case No. 7,3,2019-02-20 17:07:58,2,145
Case No. 7,8,2019-02-20 19:01:40,1,17
Case No. 7,7,2019-02-20 19:01:44,4,144
Case No. 7,1,2019-02-20 19:31:14,2,22
Case No. 7,5,2019-02-20 19:45:24,2,72
Case No. 7,6,2019-02-20 19:51:22,4,59
Case No. 7,5,2019-02-20 20:02:42,4,132
Case No. 7,6,2019-02-20 20:09:34,4,105
Case No. 7,2,2019-02-20 20:11:16,3,130
Case No. 7,9,2019-02-20 20:17:16,2,46
Case No. 7,8,2019-02-20 20:35:56,4,7
Case No. 7,9,2019-02-20 20:39:04,3,39
Case No. 8,0,2019-02-20 21:31:28,0,56
