CaseID,ActivityID,CompleteTimestamp,Resource,ElapsedTime
Case No. 1,0,2018-05-12 04:05:52,0,0
Case No. 1,0,2018-05-12 04:05:52,0,0
Case No. 1,1,2018-05-12 04:07:19,1,87
Case No. 1,2,2018-05-12 04:09:44,0,145
Case No. 1,3,2018-05-12 04:10:43,0,59
Case No. 1,4,2018-05-12 04:12:47,2,124
Case No. 1,5,2018-05-12 04:13:48,0,61
Case No. 1,6,2018-05-12 04:15:57,0,129
Case No. 1,1,2018-05-12 04:17:07,1,70
Case No. 1,5,2018-05-12 04:17:49,0,42
Case No. 1,1,2018-05-12 04:18:39,0,50
Case No. 1,7,2018-05-12 04:19:23,0,84
Case No. 1,8,2018-05-12 04:21:49,1,146
Case No. 2,0,2018-05-12 03:49:38,2,0
Case No. 2,8,2018-05-12 03:50:41,2,63
Case No. 2,3,2018-05-12 03:51:33,0,52
Case No. 2,5,2018-05-12 03:51:41,0,8
Case No. 2,7,2018-05-12 03:53:30,0,43
Case No. 2,2,2018-05-12 03:54:00,0,30
Case No. 2,8,2018-05-12 03:56:30,1,150
Case No. 2,4,2018-05-12 03:57:35,2,65
Case No. 2,6,2018-05-12 03:59:33,2,118
Case No. 2,1,2018-05-12 04:00:35,1,62
Case No. 2,8,2018-05-12 04:01:04,0,29
Case No. 2,9,2018-05-12 04:01:25,0,21
Case No. 3,0,2018-05-12 08:03:07,0,0
Case No. 3,2,2018-05-12 08:04:08,0,61
Case No. 3,3,2018-05-12 08:05:54,1,106
Case No. 3,4,2018-05-12 08:06:25,0,31
Case No. 3,9,2018-05-12 08:07:33,0,68
Case No. 3,2,2018-05-12 08:08:43,0,70
Case No. 3,2,2018-05-12 08:09:59,0,76
Case No. 3,6,2018-05-12 08:10:04,0,5
Case No. 3,1,2018-05-12 08:12:20,0,136
Case No. 3,5,2018-05-12 08:12:28,0,8
Case No. 3,8,2018-05-12 08:12:35,1,7
Case No. 3,7,2018-05-12 08:13:10,1,29
Case No. 4,0,2018-05-12 07:51:28,0,0
Case No. 4,5,2018-05-12 07:52:51,0,83
Case No. 4,8,2018-05-12 07:53:51,2,60
Case No. 4,8,2018-05-12 07:55:33,0,102
Case No. 4,3,2018-05-12 07:57:06,0,93
Case No. 4,2,2018-05-12 07:57:25,0,19
Case No. 4,7,2018-05-12 07:58:53,2,20
Case No. 4,4,2018-05-12 08:00:34,0,101
Case No. 4,6,2018-05-12 08:02:21,2,107
Case No. 4,1,2018-05-12 08:03:50,0,89
Case No. 4,9,2018-05-12 08:04:37,0,47
Case No. 4,8,2018-05-12 08:05:59,0,82
Case No. 5,0,2018-05-12 12:58:33,0,0
Case No. 5,3,2018-05-12 12:59:37,0,64
Case No. 5,2,2018-05-12 13:01:48,0,131
Case No. 5,2,2018-05-12 13:04:14,0,146
Case No. 5,4,2018-05-12 13:06:07,1,113
Case No. 5,5,2018-05-12 13:07:06,0,59
Case No. 5,1,2018-05-12 13:07:36,0,30
Case No. 5,8,2018-05-12 13:10:03,1,147
Case No. 5,9,2018-05-12 13:10:45,0,42
Case No. 5,7,2018-05-12 13:11:36,0,6
Case No. 5,6,2018-05-12 13:12:35,0,59
Case No. 5,1,2018-05-12 13:14:34,0,119
Case No. 6,0,2018-05-12 03:53:27,0,0
Case No. 6,8,2018-05-12 03:55:11,3,104
Case No. 6,3,2018-05-12 03:56:25,0,74
Case No. 6,5,2018-05-12 03:58:04,0,99
Case No. 6,7,2018-05-12 03:59:26,0,66
Case No. 6,2,2018-05-12 04:00:31,0,65
Case No. 6,8,2018-05-12 04:01:07,1,36
Case No. 6,4,2018-05-12 04:03:36,3,149
Case No. 6,6,2018-05-12 04:03:53,3,17
Case No. 6,1,2018-05-12 04:04:05,1,12
Case No. 6,8,2018-05-12 04:06:27,0,142
Case No. 6,9,2018-05-12 04:07:19,0,52
Case No. 7,0,2018-05-12 16:14:57,0,0
Case No. 7,3,2018-05-12 16:17:00,0,123
Case No. 7,2,2018-05-12 16:18:09,0,69
Case No. 7,4,2018-05-12 16:19:07,0,58
Case No. 7,5,2018-05-12 16:20:46,1,99
Case No. 7,8,2018-05-12 16:22:17,1,91
Case No. 7,6,2018-05-12 16:22:58,0,41
Case No. 7,1,2018-05-12 16:23:29,0,31
Case No. 7,7,2018-05-12 16:25:29,0,2
Case No. 7,8,2018-05-12 16:26:01,1,32
Case No. 7,9,2018-05-12 16:28:29,0,148
