CaseID,ActivityID,CompleteTimestamp,Resource,ElapsedTime,ID
Case No. 1,0,2018-05-14 05:42:32,0,0,0
Case No. 1,0,2018-05-14 05:42:32,0,0,1
Case No. 1,1,2018-05-14 05:53:18,0,0,2
Case No. 1,2,2018-05-14 06:04:01,0,0,3
Case No. 1,2,2018-05-14 06:24:35,0,0,4
Case No. 1,2,2018-05-14 06:45:19,0,0,5
Case No. 1,2,2018-05-14 06:49:06,0,0,6
Case No. 1,2,2018-05-14 07:37:54,0,0,7
Case No. 1,2,2018-05-14 07:53:30,0,0,8
Case No. 1,2,2018-05-14 08:10:57,0,0,9
Case No. 1,1,2018-05-14 09:01:12,0,0,10
Case No. 1,2,2018-05-14 09:09:30,0,0,11
Case No. 2,0,2018-05-14 05:26:31,0,0,12
Case No. 2,1,2018-05-14 05:34:31,0,0,13
Case No. 2,2,2018-05-14 05:55:24,0,0,14
Case No. 2,3,2018-05-14 06:39:59,1,0,15
Case No. 2,2,2018-05-14 06:57:09,0,0,16
Case No. 2,2,2018-05-14 07:06:49,0,0,17
Case No. 2,2,2018-05-14 07:09:49,0,0,18
Case No. 2,2,2018-05-14 07:18:59,0,0,19
Case No. 2,2,2018-05-14 07:47:52,0,0,20
Case No. 2,1,2018-05-14 08:00:55,0,0,21
Case No. 2,2,2018-05-14 08:27:06,0,0,22
Case No. 3,0,2018-05-14 09:23:36,0,0,23
Case No. 3,1,2018-05-14 09:26:53,0,0,24
Case No. 3,2,2018-05-14 09:29:04,0,0,25
Case No. 3,2,2018-05-14 09:34:09,0,0,26
Case No. 3,2,2018-05-14 10:23:20,0,0,27
Case No. 3,2,2018-05-14 10:55:32,0,0,28
Case No. 3,2,2018-05-14 11:07:18,0,0,29
Case No. 3,2,2018-05-14 11:30:35,0,0,30
Case No. 3,1,2018-05-14 12:04:57,0,0,31
Case No. 3,2,2018-05-14 12:14:45,0,0,32
Case No. 3,2,2018-05-14 13:02:35,0,0,33
Case No. 4,0,2018-05-14 09:17:25,0,0,34
Case No. 4,1,2018-05-14 09:44:59,0,0,35
Case No. 4,2,2018-05-14 09:47:11,2,0,36
Case No. 4,3,2018-05-14 10:17:06,1,0,37
Case No. 4,0,2018-05-14 10:25:23,0,0,38
Case No. 4,1,2018-05-14 10:53:40,0,0,39
Case No. 4,2,2018-05-14 11:09:22,0,0,40
Case No. 4,2,2018-05-14 11:19:17,0,0,41
Case No. 4,2,2018-05-14 11:37:43,0,0,42
Case No. 4,2,2018-05-14 11:52:05,0,0,43
Case No. 4,2,2018-05-14 12:41:49,0,0,44
Case No. 5,0,2018-05-14 13:22:40,1,0,45
Case No. 5,1,2018-05-14 13:55:48,0,0,46
Case No. 5,2,2018-05-14 14:15:54,0,0,47
Case No. 5,2,2018-05-14 14:18:40,0,0,48
Case No. 5,2,2018-05-14 14:20:06,0,0,49
Case No. 5,2,2018-05-14 14:25:15,0,0,50
Case No. 5,2,2018-05-14 14:33:51,0,0,51
Case No. 5,2,2018-05-14 16:26:52,0,0,52
Case No. 5,1,2018-05-14 16:31:02,0,0,53
Case No. 5,2,2018-05-14 16:44:07,0,0,54
Case No. 5,2,2018-05-14 16:44:34,0,0,55
Case No. 6,0,2018-05-14 05:27:43,0,0,56
Case No. 6,1,2018-05-14 05:38:17,0,0,57
Case No. 6,2,2018-05-14 06:06:23,0,0,58
Case No. 6,3,2018-05-14 06:50:36,3,0,59
Case No. 6,2,2018-05-14 06:55:23,0,0,60
Case No. 6,2,2018-05-14 07:39:34,0,0,61
Case No. 6,2,2018-05-14 08:08:23,0,0,62
Case No. 6,2,2018-05-14 08:14:08,0,0,63
Case No. 6,2,2018-05-14 08:22:10,0,0,64
Case No. 6,1,2018-05-14 09:00:33,0,0,65
Case No. 6,2,2018-05-14 09:10:04,0,0,66
Case No. 7,0,2018-05-14 17:26:06,2,0,67
Case No. 7,1,2018-05-14 18:07:14,0,0,68
Case No. 7,2,2018-05-14 18:25:34,0,0,69
Case No. 7,2,2018-05-14 18:30:56,0,0,70
Case No. 7,2,2018-05-14 18:36:52,0,0,71
Case No. 7,2,2018-05-14 18:54:47,0,0,72
Case No. 7,2,2018-05-14 19:15:59,0,0,73
Case No. 7,2,2018-05-14 19:18:31,0,0,74
Case No. 7,1,2018-05-14 19:55:27,0,0,75
Case No. 7,2,2018-05-14 19:55:59,0,0,76
Case No. 7,2,2018-05-14 20:40:09,0,0,77
Case No. 8,0,2018-05-14 13:31:48,0,0,78
Case No. 8,1,2018-05-14 13:32:51,0,0,79
Case No. 8,2,2018-05-14 13:40:04,0,0,80
Case No. 8,3,2018-05-14 13:52:41,1,0,81
Case No. 8,3,2018-05-14 14:05:36,0,0,82
Case No. 8,2,2018-05-14 15:05:15,0,0,83
Case No. 8,0,2018-05-14 15:24:55,0,0,84
Case No. 8,1,2018-05-14 15:29:58,0,0,85
Case No. 8,2,2018-05-14 15:38:59,1,0,86
Case No. 8,1,2018-05-14 16:28:59,0,0,87
Case No. 8,2,2018-05-14 16:53:05,0,0,88
Case No. 9,0,2018-05-14 05:41:05,0,0,89
Case No. 9,1,2018-05-14 05:52:00,1,0,90
Case No. 9,2,2018-05-14 05:57:16,0,0,91
Case No. 9,2,2018-05-14 06:14:42,0,0,92
Case No. 9,2,2018-05-14 06:54:35,0,0,93
Case No. 9,2,2018-05-14 07:02:42,0,0,94
Case No. 9,2,2018-05-14 07:14:29,0,0,95
Case No. 9,2,2018-05-14 07:23:14,0,0,96
Case No. 9,2,2018-05-14 07:34:23,0,0,97
Case No. 9,1,2018-05-14 08:44:09,4,0,98
Case No. 9,2,2018-05-14 08:54:53,4,0,99
Case No. 10,0,2018-05-14 09:26:04,0,0,100
Case No. 10,1,2018-05-14 09:39:29,0,0,101
Case No. 10,2,2018-05-14 09:53:15,2,0,102
Case No. 10,3,2018-05-14 10:02:24,3,0,103
Case No. 10,0,2018-05-14 10:13:53,0,0,104
Case No. 10,1,2018-05-14 10:44:50,0,0,105
Case No. 10,2,2018-05-14 10:56:44,0,0,106
Case No. 10,2,2018-05-14 11:04:56,0,0,107
Case No. 10,2,2018-05-14 11:17:26,0,0,108
Case No. 10,2,2018-05-14 11:24:16,0,0,109
Case No. 10,2,2018-05-14 13:02:10,0,0,110
