CaseID,ActivityID,CompleteTimestamp,Resource,ElapsedTIme,ID
Case No. 1,0,2018-05-14 05:27:51,0,0,0
Case No. 1,0,2018-05-14 05:27:51,0,0,1
Case No. 1,1,2018-05-14 05:36:19,0,0,2
Case No. 1,2,2018-05-14 05:47:19,0,0,3
Case No. 1,2,2018-05-14 06:33:06,0,0,4
Case No. 1,2,2018-05-14 06:51:43,0,0,5
Case No. 1,2,2018-05-14 06:54:53,0,0,6
Case No. 1,2,2018-05-14 07:33:33,0,0,7
Case No. 1,2,2018-05-14 08:06:10,0,0,8
Case No. 1,2,2018-05-14 08:15:01,0,0,9
Case No. 1,1,2018-05-14 08:38:39,0,0,10
Case No. 1,2,2018-05-14 08:47:37,0,0,11
Case No. 2,0,2018-05-14 05:21:25,0,0,12
Case No. 2,1,2018-05-14 05:41:14,1,0,13
Case No. 2,2,2018-05-14 05:44:48,0,0,14
Case No. 2,3,2018-05-14 05:47:06,0,0,15
Case No. 2,4,2018-05-14 06:46:14,2,0,16
Case No. 2,1,2018-05-14 06:47:08,0,0,17
Case No. 2,2,2018-05-14 07:27:56,0,0,18
Case No. 2,2,2018-05-14 07:41:53,0,0,19
Case No. 2,2,2018-05-14 07:55:28,0,0,20
Case No. 2,2,2018-05-14 08:03:59,0,0,21
Case No. 2,2,2018-05-14 09:02:27,0,0,22
Case No. 3,0,2018-05-14 09:21:59,0,0,23
Case No. 3,1,2018-05-14 09:22:44,0,0,24
Case No. 3,2,2018-05-14 09:36:50,0,0,25
Case No. 3,2,2018-05-14 09:46:37,0,0,26
Case No. 3,2,2018-05-14 10:12:54,0,0,27
Case No. 3,2,2018-05-14 10:26:10,0,0,28
Case No. 3,2,2018-05-14 11:05:33,0,0,29
Case No. 3,2,2018-05-14 11:11:56,0,0,30
Case No. 3,1,2018-05-14 12:36:49,0,0,31
Case No. 3,2,2018-05-14 12:46:22,0,0,32
Case No. 3,2,2018-05-14 12:53:37,0,0,33
Case No. 4,0,2018-05-14 09:41:27,0,0,34
Case No. 4,1,2018-05-14 09:49:00,1,0,35
Case No. 4,2,2018-05-14 10:11:57,0,0,36
Case No. 4,3,2018-05-14 10:24:08,0,0,37
Case No. 4,4,2018-05-14 10:40:39,2,0,38
Case No. 4,2,2018-05-14 10:55:48,2,0,39
Case No. 4,4,2018-05-14 11:12:57,0,0,40
Case No. 4,4,2018-05-14 12:02:35,0,0,41
Case No. 4,1,2018-05-14 12:22:25,0,0,42
Case No. 4,2,2018-05-14 12:42:49,0,0,43
Case No. 4,2,2018-05-14 12:47:19,0,0,44
Case No. 5,0,2018-05-14 13:21:43,2,0,45
Case No. 5,1,2018-05-14 13:36:39,0,0,46
Case No. 5,2,2018-05-14 13:51:14,0,0,47
Case No. 5,2,2018-05-14 14:23:05,0,0,48
Case No. 5,2,2018-05-14 14:47:35,0,0,49
Case No. 5,2,2018-05-14 15:11:07,0,0,50
Case No. 5,2,2018-05-14 15:35:41,0,0,51
Case No. 5,2,2018-05-14 15:41:43,0,0,52
Case No. 5,1,2018-05-14 16:28:34,0,0,53
Case No. 5,2,2018-05-14 16:42:06,0,0,54
Case No. 5,2,2018-05-14 17:08:33,0,0,55
Case No. 6,0,2018-05-14 05:35:39,0,0,56
Case No. 6,1,2018-05-14 05:43:55,1,0,57
Case No. 6,2,2018-05-14 05:51:40,0,0,58
Case No. 6,3,2018-05-14 06:29:13,3,0,59
Case No. 6,4,2018-05-14 07:24:41,4,0,60
Case No. 6,1,2018-05-14 07:47:26,0,0,61
Case No. 6,2,2018-05-14 07:55:10,0,0,62
Case No. 6,2,2018-05-14 08:02:56,0,0,63
Case No. 6,2,2018-05-14 08:53:43,0,0,64
Case No. 6,2,2018-05-14 09:01:49,0,0,65
Case No. 6,2,2018-05-14 09:02:25,0,0,66
Case No. 7,0,2018-05-14 17:54:42,4,0,67
Case No. 7,1,2018-05-14 18:08:32,0,0,68
Case No. 7,2,2018-05-14 18:53:17,0,0,69
Case No. 7,2,2018-05-14 18:57:37,0,0,70
Case No. 7,2,2018-05-14 19:11:14,0,0,71
Case No. 7,2,2018-05-14 19:25:08,0,0,72
Case No. 7,2,2018-05-14 20:03:06,0,0,73
Case No. 7,2,2018-05-14 20:28:37,0,0,74
Case No. 7,1,2018-05-14 20:39:39,0,0,75
Case No. 7,2,2018-05-14 20:39:39,0,0,76
Case No. 7,2,2018-05-14 20:51:47,0,0,77
Case No. 8,0,2018-05-14 13:58:45,0,0,78
Case No. 8,1,2018-05-14 14:08:27,1,0,79
Case No. 8,2,2018-05-14 14:59:34,0,0,80
Case No. 8,3,2018-05-14 15:17:46,0,0,81
Case No. 8,4,2018-05-14 15:31:11,2,0,82
Case No. 8,2,2018-05-14 15:40:51,0,0,83
Case No. 8,4,2018-05-14 15:47:30,0,0,84
Case No. 8,4,2018-05-14 15:58:26,0,0,85
Case No. 8,2,2018-05-14 15:59:01,0,0,86
Case No. 8,1,2018-05-14 16:34:35,0,0,87
Case No. 8,2,2018-05-14 17:01:58,0,0,88
Case No. 9,0,2018-05-14 05:41:44,0,0,89
Case No. 9,1,2018-05-14 05:45:35,1,0,90
Case No. 9,2,2018-05-14 06:24:02,0,0,91
Case No. 9,3,2018-05-14 06:55:08,3,0,92
