CaseID,ActivityID,CompleteTimestamp,Resource,ElapsedTime
Application_652823628,0,2016-01-01 11:51:15,0,0
Application_652823628,0,2016-01-01 11:51:15,0,0
Application_652823628,1,2016-01-01 11:51:15,0,0
Application_652823628,2,2016-01-01 11:52:36,0,81
Application_652823628,3,2016-01-02 12:45:22,1,89566
Application_652823628,4,2016-01-02 13:23:04,2,2262
Application_652823628,5,2016-01-02 13:29:03,2,359
Application_652823628,6,2016-01-02 13:29:05,2,2
Application_652823628,7,2016-01-02 13:30:28,2,83
Application_652823628,8,2016-01-02 13:30:28,2,0
Application_652823628,9,2016-01-02 13:30:28,2,0
Application_652823628,10,2016-01-13 15:10:55,3,956427
Application_652823628,11,2016-01-13 15:10:55,3,0
Application_652823628,12,2016-01-13 15:11:03,3,8
Application_652823628,13,2016-01-14 11:16:20,4,72317
Application_652823628,14,2016-01-14 11:16:20,4,0
Application_652823628,10,2016-01-14 15:39:51,3,15811
Application_652823628,11,2016-01-14 15:39:51,3,0
Application_652823628,15,2016-01-14 17:49:11,4,7760
Application_652823628,16,2016-01-14 17:49:11,4,0
Application_1691306052,0,2016-01-01 12:16:11,0,-1143180
Application_1691306052,1,2016-01-01 12:16:11,0,0
Application_1691306052,2,2016-01-01 12:17:31,0,80
Application_1691306052,4,2016-01-02 12:59:44,5,88933
Application_1691306052,5,2016-01-02 13:02:38,5,174
Application_1691306052,6,2016-01-02 13:02:40,5,2
Application_1691306052,3,2016-01-02 13:03:05,5,25
Application_1691306052,7,2016-01-02 13:03:05,5,0
Application_1691306052,8,2016-01-02 13:03:05,5,0
Application_1691306052,9,2016-01-02 13:03:05,5,0
Application_1691306052,11,2016-01-07 11:40:09,7,427024
Application_1691306052,10,2016-01-07 15:29:49,6,13780
Application_1691306052,17,2016-01-07 15:29:49,6,0
Application_1691306052,18,2016-01-07 15:29:49,6,0
Application_428409768,0,2016-01-01 13:19:38,0,-526211
Application_428409768,1,2016-01-01 13:19:38,0,0
Application_428409768,2,2016-01-01 13:20:37,0,59
Application_428409768,4,2016-01-02 13:02:44,8,85327
Application_428409768,5,2016-01-02 13:05:15,8,151
Application_428409768,6,2016-01-02 13:05:17,8,2
Application_428409768,3,2016-01-02 13:06:53,8,96
Application_428409768,7,2016-01-02 13:06:53,8,0
Application_428409768,8,2016-01-02 13:06:53,8,0
Application_428409768,9,2016-01-02 13:06:53,8,0
Application_428409768,5,2016-01-02 13:25:44,8,1131
Application_428409768,6,2016-01-02 13:25:45,8,1
Application_428409768,19,2016-01-02 13:26:06,8,21
Application_428409768,7,2016-01-02 13:26:19,8,13
Application_428409768,10,2016-01-13 10:57:21,9,941462
Application_428409768,11,2016-01-13 10:57:22,9,1
Application_428409768,12,2016-01-13 11:08:14,9,652
Application_428409768,13,2016-01-13 14:19:05,10,11451
Application_428409768,14,2016-01-13 14:19:05,10,0
Application_428409768,10,2016-01-13 18:01:21,11,13336
Application_428409768,11,2016-01-13 18:01:21,11,0
Application_428409768,15,2016-01-14 9:00:14,12,53933
Application_428409768,16,2016-01-14 9:00:14,12,0
Application_1746793196,0,2016-01-01 14:34:53,0,-1103121
Application_1746793196,1,2016-01-01 14:34:53,0,0
Application_1746793196,20,2016-01-02 11:06:04,1,73871
Application_1746793196,2,2016-01-02 11:06:04,1,0
Application_1746793196,4,2016-01-04 19:15:59,8,202195
Application_1746793196,5,2016-01-04 19:19:15,8,196
Application_1746793196,6,2016-01-04 19:19:17,8,2
Application_1746793196,3,2016-01-04 19:23:02,8,225
Application_1746793196,7,2016-01-04 19:23:02,8,0
Application_1746793196,8,2016-01-04 19:23:02,8,0
Application_1746793196,9,2016-01-04 19:23:02,8,0
Application_1746793196,5,2016-01-09 11:48:22,13,404720
Application_1746793196,6,2016-01-09 11:48:23,13,1
Application_1746793196,7,2016-01-09 11:48:33,13,10
Application_1746793196,11,2016-01-25 15:37:29,7,1396136
Application_1746793196,12,2016-01-25 15:37:59,7,30
Application_1746793196,13,2016-01-26 10:42:09,15,68650
Application_1746793196,14,2016-01-26 10:42:09,15,0
Application_1746793196,11,2016-01-27 12:57:57,16,94548
Application_1746793196,10,2016-01-28 11:18:39,14,80442
Application_1746793196,13,2016-01-28 11:18:39,14,0
Application_1746793196,14,2016-01-28 11:18:39,14,0
Application_1746793196,10,2016-01-28 13:56:13,9,9454
Application_1746793196,11,2016-01-28 13:56:13,9,0
Application_1746793196,10,2016-01-28 14:18:51,14,1358
Application_1746793196,15,2016-01-28 14:18:51,14,0
Application_1746793196,16,2016-01-28 14:18:51,14,0
Application_1746793196,19,2016-01-28 14:18:51,14,0
Application_828200680,0,2016-01-01 15:00:04,0,-2330327
Application_828200680,1,2016-01-01 15:00:04,0,0
Application_828200680,2,2016-01-01 15:01:44,0,100
Application_828200680,4,2016-01-02 13:40:45,8,81541
Application_828200680,5,2016-01-02 13:42:23,8,98
Application_828200680,6,2016-01-02 13:42:25,8,2
Application_828200680,3,2016-01-02 13:43:56,8,91
Application_828200680,7,2016-01-02 13:43:56,8,0
Application_828200680,8,2016-01-02 13:43:56,8,0
Application_828200680,9,2016-01-02 13:43:56,8,0
Application_828200680,21,2016-02-02 9:00:20,0,2661384
Application_828200680,19,2016-02-02 9:00:20,0,0
Application_1266995739,0,2016-01-01 15:22:19,0,-2741881
Application_1266995739,1,2016-01-01 15:22:19,0,0
Application_1266995739,2,2016-01-01 15:23:29,0,70
Application_1266995739,3,2016-01-02 13:46:28,8,80579
Application_1266995739,4,2016-01-02 15:35:32,18,6544
Application_1266995739,5,2016-01-02 15:38:19,18,167
Application_1266995739,6,2016-01-02 15:38:20,18,1
Application_1266995739,7,2016-01-02 15:38:31,18,11
Application_1266995739,8,2016-01-02 15:38:31,18,0
Application_1266995739,9,2016-01-02 15:38:31,18,0
Application_1266995739,10,2016-01-08 11:21:19,19,502968
Application_1266995739,11,2016-01-08 11:21:20,19,1
Application_1266995739,12,2016-01-08 11:21:27,19,7
Application_1266995739,13,2016-01-08 14:46:40,20,12313
Application_1266995739,14,2016-01-08 14:46:40,20,0
Application_1266995739,21,2016-01-09 17:48:53,21,97333
Application_1266995739,19,2016-01-09 17:48:53,21,0
Application_1878239836,0,2016-01-01 15:35:26,0,-699207
Application_1878239836,1,2016-01-01 15:35:26,0,0
Application_1878239836,2,2016-01-01 15:36:31,0,65
Application_1878239836,4,2016-01-02 15:59:27,18,87776
Application_1878239836,5,2016-01-02 15:59:59,18,32
Application_1878239836,6,2016-01-02 16:00:01,18,2
Application_1878239836,3,2016-01-02 16:00:19,18,18
Application_1878239836,7,2016-01-02 16:00:19,18,0
Application_1878239836,8,2016-01-02 16:00:20,18,1
Application_1878239836,9,2016-01-02 16:00:20,18,0
Application_1878239836,11,2016-01-08 12:08:50,19,504510
Application_1878239836,12,2016-01-08 12:09:09,19,19
Application_1878239836,17,2016-01-11 11:30:52,22,256903
Application_1878239836,18,2016-01-11 11:30:52,22,0
Application_1878239836,10,2016-01-11 11:30:53,22,1
Application_619403287,0,2016-01-01 16:13:16,0,-847057
Application_619403287,1,2016-01-01 16:13:16,0,0
Application_619403287,2,2016-01-01 16:14:33,0,77
Application_619403287,4,2016-01-02 16:32:24,8,87471
Application_619403287,5,2016-01-02 16:41:07,8,523
Application_619403287,6,2016-01-02 16:41:09,8,2
Application_619403287,3,2016-01-02 16:44:54,8,225
Application_619403287,7,2016-01-02 16:44:54,8,0
Application_619403287,8,2016-01-02 16:44:54,8,0
Application_619403287,9,2016-01-02 16:44:54,8,0
Application_619403287,10,2016-01-11 12:05:54,16,760860
Application_619403287,11,2016-01-11 12:05:55,16,1
Application_619403287,12,2016-01-11 12:07:25,16,90
Application_619403287,13,2016-01-12 12:00:09,20,85964
Application_619403287,14,2016-01-12 12:00:09,20,0
Application_619403287,15,2016-01-22 10:03:30,7,857001
Application_619403287,16,2016-01-22 10:03:30,7,0
Application_1710223761,0,2016-01-01 16:23:21,0,-1791609
Application_1710223761,1,2016-01-01 16:23:21,0,0
Application_1710223761,2,2016-01-01 16:24:54,0,93
Application_1710223761,3,2016-01-02 16:29:42,1,86688
Application_1710223761,4,2016-01-02 17:48:12,18,4710
Application_1710223761,5,2016-01-02 17:50:34,18,142
Application_1710223761,6,2016-01-02 17:50:35,18,1
Application_1710223761,7,2016-01-02 17:50:48,18,13
Application_1710223761,8,2016-01-02 17:50:48,18,0
Application_1710223761,9,2016-01-02 17:50:48,18,0
Application_1710223761,21,2016-02-02 9:00:34,0,2646586
Application_1710223761,19,2016-02-02 9:00:34,0,0
Application_1529124572,0,2016-01-01 16:42:36,0,-2737078
Application_1529124572,1,2016-01-01 16:42:36,0,0
Application_1529124572,2,2016-01-01 16:43:30,0,54
Application_1529124572,4,2016-01-04 17:44:35,11,262865
Application_1529124572,5,2016-01-04 17:52:37,11,482
Application_1529124572,6,2016-01-04 17:52:38,11,1
Application_1529124572,3,2016-01-04 17:53:48,11,70
Application_1529124572,7,2016-01-04 17:53:48,11,0
